Sample;Pb Mass Rec;Zn Mass Rec;Tailings Mass Rec;Zn Met Rec in Zn Conc;Zn Met Rec in Pb Conc;Zn Met Rec in Tailings;Zn;Ag;Al;Cd;Co;Fe;Li;Mg;Mn;Ni;Pb;V
8;0.0062;0.4485;0.5453;0.8584;0.0127;0.1289;15.301782;17.3119995;0.65308;75.435;86.52923;11.3231;54.9909;1.75054;119.4736;159.16;0.234544;313.794
9;0.0127;0.379;0.6083;0.878;0.0125;0.1096;12.683778;35.021976;0.849004;129.015;120.62625;3.59608;44.1285;3.582612;94.3036;159.16;0.29532;36.207
10;0.0088;0.2185;0.7727;0.8084;0.0086;0.183;7.869058;22.419371;0.946966;121.495;121.26959;2.66292;65.8533;4.608956;102.6936;153.97;0.258512;100.575
